# {"t_start": 1608789182.3069544} 
r,l,t
29.525454,800,3183.531692
6.973516,157,3185.65338
15.088148,423,3215.900714
11.735319,251,3225.905292
24.24946,800,3230.579602
25.205362,800,3234.971529
23.879078,800,3237.629139
5.6822686,118,3242.194996
30.433605,769,3246.410915
20.915232,398,3261.60351
27.007734,800,3265.834089
12.281174,266,3269.495666
23.206362,632,3272.790125
26.930788,800,3277.707701
9.61814,244,3308.44753
11.069683,227,3310.668347
15.305594,290,3319.02606
26.088009,800,3326.923099
31.286467,800,3329.649507
29.411674,800,3334.094528
15.262428,303,3338.237134
28.03843,800,3353.861484
6.873733,137,3365.543587
24.347075,800,3369.160509
27.291468,519,3394.690595
26.451979,800,3399.241534
24.846584,785,3407.917803
27.602272,800,3417.028257
23.069674,718,3420.340003
30.714067,800,3423.765743
13.845041,288,3447.199698
14.692394,335,3448.586713
33.205612,800,3454.872842
24.402735,800,3458.187188
28.769333,800,3483.541552
32.549133,800,3487.919412
25.19685,800,3496.412979
23.903225,800,3505.19867
20.151335,488,3509.509969
16.061033,424,3513.919678
23.473377,800,3535.904014
21.895166,800,3542.384134
27.209904,800,3570.53423
28.540663,800,3575.093111
30.502157,800,3584.02823
24.94051,800,3592.894914
28.153048,800,3597.598983
33.757225,800,3602.274947
21.99575,800,3624.538252
21.083946,800,3631.084509
30.842897,800,3659.428328
30.166834,800,3664.02025
15.819486,317,3671.880737
24.168951,800,3673.032122
14.181252,340,3680.449887
35.598442,800,3682.36843
4.157159,146,3685.627389
24.3888,800,3687.324375
23.10896,800,3691.887798
9.8758135,239,3706.856474
10.630173,286,3709.931497
24.002337,514,3717.31546
25.743645,800,3748.332762
33.70142,800,3753.20108
31.562647,800,3769.171481
27.56848,800,3771.245477
24.957922,800,3779.978616
25.82022,800,3795.322046
23.066748,800,3798.327252
37.30164,800,3805.962668
23.599888,692,3812.698544
13.464579,422,3835.435002
35.855053,800,3837.593957
31.5531,648,3844.890671
17.959139,366,3849.7707
